model,error_mean,energy_norm_mean,err,eng,score
run_a6_b3,0.3571779198938192,0.0502552910856902,0.001785889599469096,0.0502552910856902,0.021173650193957536
run_a6_b4,0.3847681843986098,0.0513088259129474,0.0019238409219930492,0.0513088259129474,0.021677834918374793
run_a8_b3,0.2512071618668667,0.0589185023512691,0.0012560358093343335,0.0589185023512691,0.024321022426108244
run_a8_b6,0.1901709018407749,0.0607705610450357,0.0009508545092038745,0.0607705610450357,0.024878737123536603
run_a6_b6,0.1743328570604363,0.0618140358060598,0.0008716642853021815,0.0618140358060598,0.025248612893605228
run_a10_b3,0.1703180540311107,0.0634027790565043,0.0008515902701555535,0.0634027790565043,0.02587206578469505
run_a8_b4,0.0996579180429126,0.066227964939177,0.000498289590214563,0.066227964939177,0.026790159729799538
run_a10_b4,0.2559382116906819,0.1143514622930437,0.0012796910584534095,0.1143514622930437,0.04650839955228953
run_a10_b6,0.2634000853737094,0.5320555348688115,0.001317000426868547,0.5320555348688115,0.21361241420364574
+
